搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
觀光管理學系旅運事業組,實踐大學觀光管理學系旅運事業組(高雄校區),5052,國文(學測)x1.25,公民與社會(分科)x1.00,數學B(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E6%97%85%E9%81%8B%E4%BA%8B%E6%A5%AD%E7%B5%84(%E9%AB%98%E9%9B%84%E6%A0%A1%E5%8D%80)&id=05052,https://www.com.tw/exam/university_050_111.html
休閒產業管理學系遊憩運動企劃組,實踐大學休閒產業管理學系遊憩運動企劃組(高雄校區),5056,國文(學測)x2.00,自然(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E4%BC%91%E9%96%92%E7%94%A2%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E9%81%8A%E6%86%A9%E9%81%8B%E5%8B%95%E4%BC%81%E5%8A%83%E7%B5%84(%E9%AB%98%E9%9B%84%E6%A0%A1%E5%8D%80)&id=05056,https://www.com.tw/exam/university_050_111.html
風險管理與保險學系-B組,實踐大學風險管理與保險學系-B組(臺北校區),5057,國文(學測)x2.00,數學B(學測)x1.00,公民與社會(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E9%A2%A8%E9%9A%AA%E7%AE%A1%E7%90%86%E8%88%87%E4%BF%9D%E9%9A%AA%E5%AD%B8%E7%B3%BB-B%E7%B5%84(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05057,https://www.com.tw/exam/university_050_111.html
國際企業管理學系外匯數位金融組、企管,實踐大學國際企業管理學系外匯數位金融組(高雄校區),5058,國文(學測)x1.00,社會(學測)x1.50,地理(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E5%A4%96%E5%8C%AF%E6%95%B8%E4%BD%8D%E9%87%91%E8%9E%8D%E7%B5%84(%E9%AB%98%E9%9B%84%E6%A0%A1%E5%8D%80)&id=05058,https://www.com.tw/exam/university_050_111.html
休閒產業管理學系精品咖啡烘培經營組,實踐大學休閒產業管理學系精品咖啡烘培經營組(高雄校區),5060,國文(學測)x2.00,英文(學測)x1.50,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E4%BC%91%E9%96%92%E7%94%A2%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1%E7%83%98%E5%9F%B9%E7%B6%93%E7%87%9F%E7%B5%84(%E9%AB%98%E9%9B%84%E6%A0%A1%E5%8D%80)&id=05060,https://www.com.tw/exam/university_050_111.html
資訊科技與管理學系雲端運算與物聯網組,實踐大學資訊科技與管理學系雲端運算與物聯網組(臺北校區),5061,國文(學測)x1.00,自然(學測)x1.00,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%A7%91%E6%8A%80%E8%88%87%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E9%9B%B2%E7%AB%AF%E9%81%8B%E7%AE%97%E8%88%87%E7%89%A9%E8%81%AF%E7%B6%B2%E7%B5%84(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05061,https://www.com.tw/exam/university_050_111.html
資訊科技與管理學系人工智慧與大數據組,實踐大學資訊科技與管理學系人工智慧與大數據組(臺北校區),5062,社會(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%A7%91%E6%8A%80%E8%88%87%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E8%88%87%E5%A4%A7%E6%95%B8%E6%93%9A%E7%B5%84(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05062,https://www.com.tw/exam/university_050_111.html
金融管理學系金融實務組,實踐大學金融管理學系金融實務組(高雄校區),5063,國文(學測)x1.00,公民與社會(分科)x1.25,社會(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E9%87%91%E8%9E%8D%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E9%87%91%E8%9E%8D%E5%AF%A6%E5%8B%99%E7%B5%84(%E9%AB%98%E9%9B%84%E6%A0%A1%E5%8D%80)&id=05063,https://www.com.tw/exam/university_050_111.html
法律學系(臺北校區),實踐大學法律學系(臺北校區),5071,國文(學測)x1.50,公民與社會(分科)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05071,https://www.com.tw/exam/university_050_111.html
東南亞智慧商務學士學位學程雲端商務組,實踐大學東南亞智慧商務學士學位學程雲端商務組(高雄校區),5072,英文(學測)x2.00,公民與社會(分科)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E6%9D%B1%E5%8D%97%E4%BA%9E%E6%99%BA%E6%85%A7%E5%95%86%E5%8B%99%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B%E9%9B%B2%E7%AB%AF%E5%95%86%E5%8B%99%E7%B5%84(%E9%AB%98%E9%9B%84%E6%A0%A1%E5%8D%80)&id=05072,https://www.com.tw/exam/university_050_111.html
東南亞智慧商務學士學位學程語言文化組,實踐大學東南亞智慧商務學士學位學程語言文化組(高雄校區),5073,英文(學測)x2.00,歷史(分科)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E6%9D%B1%E5%8D%97%E4%BA%9E%E6%99%BA%E6%85%A7%E5%95%86%E5%8B%99%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B%E8%AA%9E%E8%A8%80%E6%96%87%E5%8C%96%E7%B5%84(%E9%AB%98%E9%9B%84%E6%A0%A1%E5%8D%80)&id=05073,https://www.com.tw/exam/university_050_111.html
東南亞智慧商務學士學位學程流通管理組,實踐大學東南亞智慧商務學士學位學程流通管理組(高雄校區),5074,英文(學測)x2.00,地理(分科)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E6%9D%B1%E5%8D%97%E4%BA%9E%E6%99%BA%E6%85%A7%E5%95%86%E5%8B%99%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B%E6%B5%81%E9%80%9A%E7%AE%A1%E7%90%86%E7%B5%84(%E9%AB%98%E9%9B%84%E6%A0%A1%E5%8D%80)&id=05074,https://www.com.tw/exam/university_050_111.html
應用外語學系數位應用組、應外,實踐大學應用外語學系數位應用組(臺北校區),5075,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,--,---,英文(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E5%A4%96%E8%AA%9E%E5%AD%B8%E7%B3%BB%E6%95%B8%E4%BD%8D%E6%87%89%E7%94%A8%E7%B5%84(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05075,https://www.com.tw/exam/university_050_111.html
