搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
化學系,國立臺灣大學化學系,135,化學(分科)x1.00,英文(學測)x1.00,數學甲(分科)x1.00,物理(分科)x1.00,國文(學測)x1.00,國文(均標)英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=00135,https://www.com.tw/exam/university_001_111.html
地理環境資源學系A組,國立臺灣大學地理環境資源學系A組,136,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,--,---,英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%9C%B0%E7%90%86%E7%92%B0%E5%A2%83%E8%B3%87%E6%BA%90%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=00136,https://www.com.tw/exam/university_001_111.html
地質科學系,國立臺灣大學地質科學系,137,數學甲(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,物理(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%9C%B0%E8%B3%AA%E7%A7%91%E5%AD%B8%E7%B3%BB&id=00137,https://www.com.tw/exam/university_001_111.html
物理學系,國立臺灣大學物理學系,138,物理(分科)x1.50,數學甲(分科)x1.50,英文(學測)x1.00,化學(分科)x1.00,--,數學A(均標)自然(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E5%AD%B8%E7%B3%BB&id=00138,https://www.com.tw/exam/university_001_111.html
數學系,國立臺灣大學數學系,139,數學A(學測)x1.50,數學甲(分科)x1.50,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,數學A(頂標)自然(頂標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E7%B3%BB&id=00139,https://www.com.tw/exam/university_001_111.html
心理學系,國立臺灣大學心理學系,140,數學甲(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,生物(分科)x1.00,化學(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB&id=00140,https://www.com.tw/exam/university_001_111.html
生命科學系、生科,國立臺灣大學生命科學系,141,生物(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,數學A(學測)x1.00,物理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%B8%E7%B3%BB&id=00141,https://www.com.tw/exam/university_001_111.html
森林環境暨資源學系,國立臺灣大學森林環境暨資源學系,142,生物(分科)x2.00,數學甲(分科)x1.00,化學(分科)x1.50,物理(分科)x1.50,--,國文(均標)英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%A3%AE%E6%9E%97%E7%92%B0%E5%A2%83%E6%9A%A8%E8%B3%87%E6%BA%90%E5%AD%B8%E7%B3%BB&id=00142,https://www.com.tw/exam/university_001_111.html
醫學工程學系,國立臺灣大學醫學工程學系,143,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,數學A(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00143,https://www.com.tw/exam/university_001_111.html
國際體育運動事務學士學位學程,國立臺灣大學國際體育運動事務學士學位學程,144,英文(學測)x2.00,國文(學測)x1.25,數學B(學測)x1.00,公民與社會(分科)x1.00,--,國文(均標)英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E9%AB%94%E8%82%B2%E9%81%8B%E5%8B%95%E4%BA%8B%E5%8B%99%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=00144,https://www.com.tw/exam/university_001_111.html
